"","Word","FeatureCombo","Category","Experiment","TruthCond"
"69","gratitude","abstract-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"70","inspiration","abstract-positive","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"71","smoke","concrete-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"72","rot","concrete-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"73","mud","concrete-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"74","vomit","concrete-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"75","garbage","concrete-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"76","rust","concrete-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"77","mold","concrete-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"78","injury","concrete-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"79","stench","concrete-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"80","filth","concrete-negative","Nouns","Ex1b: Conc-Abs (Nouns)","Conc-Abs"
"81","worthless","abstract-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"82","awful","abstract-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"83","evil","abstract-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"84","soulless","abstract-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"85","heartless","abstract-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"86","sexist","abstract-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"87","crappy","abstract-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"88","stupid","abstract-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"89","sinful","abstract-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"90","disloyal","abstract-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"91","sunny","concrete-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"92","lilac","concrete-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"93","human","concrete-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"94","female","concrete-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"95","newborn","concrete-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"96","blooming","concrete-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"97","orange","concrete-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"98","starry","concrete-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"99","pregnant","concrete-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"100","handmade","concrete-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"101","honest","abstract-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"102","lovable","abstract-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"103","thankful","abstract-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"104","splendid","abstract-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"105","possible","abstract-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"106","sensible","abstract-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"107","mindful","abstract-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"108","pleasant","abstract-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"109","helpful","abstract-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"110","divine","abstract-positive","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"111","toothless","concrete-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"112","headless","concrete-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"113","bloodshot","concrete-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"114","rusted","concrete-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"115","thorny","concrete-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"116","hairy","concrete-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"117","dirty","concrete-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"118","wrinkled","concrete-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"119","freezing","concrete-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"120","bloody","concrete-negative","Adjs","Ex1c: Conc-Abs (Adjs)","Conc-Abs"
"121","moldy","physical-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"122","soft","physical-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"123","smooth","physical-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"124","brittle","physical-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"125","fragrant","physical-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"126","sour","physical-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"127","clammy","physical-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"128","gritty","physical-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"129","rancid","physical-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"130","sturdy","physical-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"131","lush","physical-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"132","prosperous","social-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"133","radiant","physical-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"134","fair","social-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"135","supportive","social-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"136","harmonious","social-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"137","corrupt","social-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"138","compassionate","social-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"139","oppressive","social-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"140","unjust","social-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"141","wrinkled","physical-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"142","slim","physical-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"143","obese","physical-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"144","ugly","physical-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"145","scrawny","physical-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"146","youthful","physical-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"147","hostile","social-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"148","amiable","social-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"149","trustworthy","social-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"150","elegant","physical-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"151","generous","social-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"152","gorgeous","physical-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"153","manipulative","social-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"154","cruel","social-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"155","arrogant","social-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"156","untrustworthy","social-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"157","selfish","social-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"158","polite","social-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"159","judgmental","social-negative","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"160","sympathetic","social-positive","Adjs","Ex2b: Phys-Soc (Adjs)","Phys-Soc/Psych"
"161","cuddle","physical-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"162","build","physical-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"163","repair","physical-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"164","caress","physical-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"165","hug","physical-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"166","produce","physical-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"167","sculpt","physical-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"168","twinkle","physical-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"169","decorate","physical-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"170","clean","physical-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"171","content","psychological-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"172","encourage","psychological-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"173","appreciate","psychological-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"174","impress","psychological-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"175","like","psychological-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"176","reassure","psychological-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"177","respect","psychological-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"178","admire","psychological-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"179","adore","psychological-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"180","cherish","psychological-positive","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"181","rust","physical-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"182","slaughter","physical-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"183","slash","physical-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"184","crash","physical-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"185","tear","physical-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"186","burn","physical-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"187","hit","physical-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"188","stain","physical-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"189","delete","physical-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"190","corrode","physical-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"191","offend","psychological-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"192","despair","psychological-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"193","irritate","psychological-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"194","displease","psychological-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"195","dishonor","psychological-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"196","embarrass","psychological-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"197","discourage","psychological-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"198","dismay","psychological-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"199","criticize","psychological-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"200","dread","psychological-negative","Verbs","Ex2a: Phys-Psyc (Verbs)","Phys-Soc/Psych"
"201","heroin","inanimate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"202","swastika","inanimate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"203","wiretap","inanimate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"204","cocaine","inanimate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"205","excrement","inanimate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"206","poison","inanimate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"207","gunshot","inanimate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"208","flood","inanimate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"209","smallpox","inanimate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"210","corpse","inanimate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"211","prize","inanimate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"212","sunshine","inanimate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"213","award","inanimate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"214","pizza","inanimate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"215","laughter","inanimate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"216","feast","inanimate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"217","doughnut","inanimate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"218","dollar","inanimate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"219","sandwich","inanimate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"220","meadow","inanimate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"221","slave","animate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"222","asshole","animate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"223","maggot","animate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"224","inmate","animate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"225","dictator","animate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"226","leech","animate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"227","tapeworm","animate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"228","intruder","animate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"229","mugger","animate-negative","Nouns","Ex3: Animacy (Nouns)","Animacy"
"230","comedian","animate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"231","puppy","animate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"232","sibling","animate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"233","duckling","animate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"234","kitten","animate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"235","bunny","animate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"236","child","animate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"237","princess","animate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"238","chipmunk","animate-positive","Nouns","Ex3: Animacy (Nouns)","Animacy"
"239","husband","animate-positiv-","Nouns","Ex3: Animacy (Nouns)","Animacy"
"240","toxin","noun-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"241","garbage","noun-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"242","mud","noun-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"243","corpse","noun-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"244","slave","noun-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"245","choke","verb-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"246","fester","verb-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"247","writhe","verb-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"248","bleed","verb-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"249","stab","verb-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"250","terror","noun-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"251","hatred","noun-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"252","anxiety","noun-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"253","failure","noun-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"254","grief","noun-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"255","befall","verb-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"256","criticize","verb-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"257","exploit","verb-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"258","resent","verb-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"259","obsess","verb-negative",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"260","compassion","noun-positive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"261","freedom","noun-positive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"262","gratitude","noun-positive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"263","inspiration","noun-positive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"264","kindness","noun-positive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"265","admire","verb-positive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"266","cherish","verb-positive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"267","enlighten","verb-positive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"268","fulfill","verb-positive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"269","imagine","verb-positive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"270","beach","noun-postiive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"271","chocolate","noun-postiive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"272","fireplace","noun-postiive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"273","flowers","noun-postiive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"274","home","noun-postiive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"275","glide","verb-postiive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"276","breathe","verb-postiive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"277","glisten","verb-postiive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"278","eat","verb-postiive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
"279","running","verb-postiive",NA,"Ex4: Syntactic (N v. V)","Syntactic"
