,Q4_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,Q26_1,Q27_1,Q28_1,Q29_1,Q30_1,Q31_1,Q32_1,Q33_1,Q34_1,Q35_1,Q36_1,Q37_1,Q38_1,Q39_1,Q40_1,Q41_1,Q42_1,Q43_1,Q44_1,Q45_1,Q46_1,Q47_1,Q48_1,Q49_1,Q50_1,Q51_1,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,Q57_1,Q58_1,Q59_1,Q60_1,Q61_1,Q62_1,Q63_1,Q64_1,Q65_1,Q66_1,Q67_1,Q68_1,Q69_1,Q70_1,Q71_1,Q72_1,Q73_1,Q74_1,Q75_1,Q76_1,Q77_1,Q78_1,Q79_1,Q80_1,Q81_1,,,,,,
R_31Wx7iWQCKpoH9L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3,1,4,3,1,1,0,0,4,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2c024ABP5dywgbB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,,,,,,
R_ehruKLTaWnYwte9,0,0,1,0,0,0,3,0,1,0,2,1,1,2,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6gLU9RwT7ExcDId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,2,0,0,4,5,3,2,0,2,1,3,3,4,0,0,0,1,,,,,,
R_1F5IcZKsO6XMZK5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,4,1,0,0,4,0,4,3,0,0,0,0,0,,,,,,
R_z7utw2ZcWGigZPj,0,0,0,0,0,0,4,0,1,2,3,2,0,2,4,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1DqlOxcSBa8lSXQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2YmreYPZ570watf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,0,0,0,1,5,0,0,0,5,0,1,4,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1mITvZ46ZJ0Eh5q,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1,3,3,3,4,5,4,2,4,6,3,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_31hO7Id02Jb4EOi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,2,2,1,1,1,3,3,0,0,0,0,0,,,,,,
R_vj0rjZZLLBCQs5X,0,0,0,0,0,0,1,1,1,1,0,1,1,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_Z2mJKIrm9xwjgyZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2s0cIcEN8RKFsUG,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,2,0,1,0,2,6,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_SVsDsvOg1codbSF,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,1,3,1,2,1,3,4,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3Jq2TTpirFKtCaD,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,2,1,4,6,3,4,0,4,6,2,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2AMg1EwXTEDJNZi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,3,5,4,2,3,5,2,3,5,3,,1,,1,,,,,,
R_1r9smGhDes92rB6,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3HZCmJR6WieQH6a,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,3,0,4,6,5,5,1,6,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1Crwgodi4AEykFW,0,0,1,1,1,1,5,1,4,5,4,2,3,5,6,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1Kr3FfUNTfPBA1p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,2,0,2,1,0,3,2,4,1,0,0,0,0,,,,,,
R_2aS3hHcotiUW1oK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,3,0,2,0,4,1,1,0,0,0,0,,,,,,
R_3n8G25BzXEiV0ZX,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,5,4,2,4,4,5,4,4,5,4,4,5,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_Z356zeeivmlWoTf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,0,0,1,6,3,3,0,3,6,0,0,6,4,3,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3ezs26qxCVv78oO,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,4,4,4,3,1,0,1,5,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1igLmd7mkpyrA8i,0,0,0,0,0,0,5,2,3,5,0,1,0,3,3,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3FKBRZtqNoohC6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,2,1,1,0,2,0,1,0,0,0,0,,,,,,
R_qK32CyC3dcKRhex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,0,0,0,3,2,1,2,1,2,0,2,3,3,0,0,1,0,,,,,,
R_21uZTWHTJOi9dbO,0,0,1,1,1,3,4,0,0,2,2,2,0,0,2,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2fvA1o5Z7YdFYLo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,1,3,2,5,4,2,4,1,4,2,5,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
R_r1EazQDzmksasRb,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,3,0,2,4,1,4,6,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1lse1a4rViyUVha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,3,0,0,0,0,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0PQzgvf3FdiqKxr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3,2,2,0,2,6,0,0,6,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_yDPQaSZt8Oqu0hP,1,1,1,1,1,1,2,2,4,3,1,1,1,1,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1pxoKqR3odgUu75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,1,4,0,2,4,1,1,5,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3GwvdQBTYDJxZLS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2v6NJLUj4IJu9An,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,2,4,3,1,1,1,3,1,2,2,3,2,1,3,1,4,4,,,,,,
R_1CqgeKJ5FtzcVgn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,2,3,2,3,3,6,1,2,3,3,2,5,1,4,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1dETz2H7Eurq1Jw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,2,1,2,0,1,2,1,3,2,2,1,1,1,2,,,,,,
R_Q6UYtunLU3WeO0F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,1,1,2,1,0,1,1,0,0,0,0,,,,,,
R_3NE54Vyt8brt1hQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,2,3,0,0,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2f7gafJr93pZLEd,0,0,3,0,0,0,4,1,0,3,3,0,0,3,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2R1HMbv2wT3nT4J,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,3,0,1,0,1,4,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_Xigl8wmBfSLzn2h,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,1,3,5,4,3,1,4,6,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1QAtD1zSXw8CWZl,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,0,1,0,1,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3oG8GpCYTvYGowF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,1,2,1,3,1,1,3,2,4,2,2,1,0,2,1,,,,,,
R_33fhgRqylTznZYR,1,1,0,1,1,1,4,1,3,2,1,0,1,3,2,3,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1QaX2hoQffOW47Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,1,5,0,0,4,0,0,5,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3CTM71B19SBUuys,0,0,0,0,0,0,4,0,2,3,1,0,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cPkJkBzzWfQpkKR,,,,,,,,,,,,,,,,,,,,,0,1,1,1,4,0,5,1,6,6,4,6,3,3,6,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3iKyzHyZ2mm4Sfn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,5,1,5,1,2,3,0,1,4,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3OqAXsT5ovwkFXr,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,2,0,1,0,2,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1UlKuqvte5nh0sN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2,4,4,3,2,3,4,2,1,5,4,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6A0GvZQFp1AJ1MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,3,1,2,4,4,2,3,3,4,2,5,4,3,1,2,3,2,,,,,,
,0.214285714,0.142857143,0.5,0.285714286,0.285714286,0.642857143,3.428571429,0.571428571,1.571428571,2.142857143,1.714285714,0.928571429,0.785714286,2.142857143,2.357142857,2.214285714,0.214285714,0.142857143,0.071428571,0.142857143,0.588235294,0.352941176,0.294117647,0.352941176,0.411764706,0.588235294,1.470588235,1,2.117647059,3.588235294,2.176470588,2.352941176,0.882352941,2.588235294,5,1.6875,0.6875,0.235294118,0.470588235,0.529411765,0.2,0.9375,0.3125,0.375,0.375,0.375,2.625,1.5,3.8125,0.75,1.375,3,0.5625,0.75,4.8125,3.875,0.666666667,0.266666667,0.125,0.6875,0.571428571,0.6,0.866666667,0.8,0.6,0.5,2.266666667,2.133333333,1.533333333,1.533333333,1,2.266666667,1.266666667,3,2.466666667,1.466666667,0.428571429,0.4,0.785714286,0.733333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
