ResponseID,Question,Response
R_4H1Izll8EGknlaJ,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_8hTzTWhIt3n7AHz,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_1MqpDS8VpRmCxGR,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_3XikxXHI9f3RNY1,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",1
R_bawhqfyJXOGMbZz,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_9STal68um6rtI45,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_3NMmCSjk8xZPyHH,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_6zMVC9kuhl7oD5j,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_9ua0FR0zNLyRqa9,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_eyQ92M2faxNQWFf,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_7379KPKAfmA5Sy9,"""TO /  DESPISE"" /  /    /  /    /  /    /  /  B = positive       /       N = negative",2
R_8868VvS8DH4InYh,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_brBsncrK2secV7v,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_cIay1PiBWtSgPpr,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_4IrZFD1AjeRZm1T,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_8finadprGjxTKTP,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_ahZZOGMuJqHBtGd,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_249FSn3J0TI9ZWt,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_0H5BNGYtHbJlJLn,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_20ntoiSqvPVfdTT,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_4H1Izll8EGknlaJ,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_8hTzTWhIt3n7AHz,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_1MqpDS8VpRmCxGR,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_3XikxXHI9f3RNY1,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",2
R_bawhqfyJXOGMbZz,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_9STal68um6rtI45,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_3NMmCSjk8xZPyHH,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_6zMVC9kuhl7oD5j,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_9ua0FR0zNLyRqa9,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_eyQ92M2faxNQWFf,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_7379KPKAfmA5Sy9,"""TO BLOOM"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_8868VvS8DH4InYh,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_brBsncrK2secV7v,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_cIay1PiBWtSgPpr,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_4IrZFD1AjeRZm1T,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_8finadprGjxTKTP,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_ahZZOGMuJqHBtGd,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_249FSn3J0TI9ZWt,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_0H5BNGYtHbJlJLn,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_20ntoiSqvPVfdTT,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_4H1Izll8EGknlaJ,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_8hTzTWhIt3n7AHz,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_1MqpDS8VpRmCxGR,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_3XikxXHI9f3RNY1,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_bawhqfyJXOGMbZz,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_9STal68um6rtI45,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_3NMmCSjk8xZPyHH,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_6zMVC9kuhl7oD5j,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_9ua0FR0zNLyRqa9,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_eyQ92M2faxNQWFf,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_7379KPKAfmA5Sy9,"Now that you have completed the practice verbs, click below / to continue to the main part of the experiment. Remember that (in / contrast to the practice items) you will only have 2 seconds to / respond...",1
R_8868VvS8DH4InYh,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_brBsncrK2secV7v,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_cIay1PiBWtSgPpr,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_4IrZFD1AjeRZm1T,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_8finadprGjxTKTP,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",2
R_ahZZOGMuJqHBtGd,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_249FSn3J0TI9ZWt,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_0H5BNGYtHbJlJLn,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_20ntoiSqvPVfdTT,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_4H1Izll8EGknlaJ,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_8hTzTWhIt3n7AHz,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_1MqpDS8VpRmCxGR,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_3XikxXHI9f3RNY1,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_bawhqfyJXOGMbZz,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_9STal68um6rtI45,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_3NMmCSjk8xZPyHH,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_6zMVC9kuhl7oD5j,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_9ua0FR0zNLyRqa9,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_eyQ92M2faxNQWFf,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_7379KPKAfmA5Sy9,"""TO CUDDLE"" /  /    /  /    /  /    /  /  B = positive            N = /  negative",1
R_8868VvS8DH4InYh,Timing-First Click,0
R_brBsncrK2secV7v,Timing-First Click,0
R_cIay1PiBWtSgPpr,Timing-First Click,0
R_4IrZFD1AjeRZm1T,Timing-First Click,0
R_8finadprGjxTKTP,Timing-First Click,0
R_ahZZOGMuJqHBtGd,Timing-First Click,0
R_249FSn3J0TI9ZWt,Timing-First Click,0
R_0H5BNGYtHbJlJLn,Timing-First Click,0
R_20ntoiSqvPVfdTT,Timing-First Click,0
R_4H1Izll8EGknlaJ,Timing-First Click,0
R_8hTzTWhIt3n7AHz,Timing-First Click,0
R_1MqpDS8VpRmCxGR,Timing-First Click,0
R_3XikxXHI9f3RNY1,Timing-First Click,0
R_bawhqfyJXOGMbZz,Timing-First Click,0
R_9STal68um6rtI45,Timing-First Click,0
R_3NMmCSjk8xZPyHH,Timing-First Click,0
R_6zMVC9kuhl7oD5j,Timing-First Click,0
R_9ua0FR0zNLyRqa9,Timing-First Click,0
R_eyQ92M2faxNQWFf,Timing-First Click,0
R_7379KPKAfmA5Sy9,Timing-First Click,0
R_8868VvS8DH4InYh,Timing-Last Click,0
R_brBsncrK2secV7v,Timing-Last Click,0
R_cIay1PiBWtSgPpr,Timing-Last Click,0
R_4IrZFD1AjeRZm1T,Timing-Last Click,0
R_8finadprGjxTKTP,Timing-Last Click,0
R_ahZZOGMuJqHBtGd,Timing-Last Click,0
R_249FSn3J0TI9ZWt,Timing-Last Click,0
R_0H5BNGYtHbJlJLn,Timing-Last Click,0
R_20ntoiSqvPVfdTT,Timing-Last Click,0
R_4H1Izll8EGknlaJ,Timing-Last Click,0
R_8hTzTWhIt3n7AHz,Timing-Last Click,0
R_1MqpDS8VpRmCxGR,Timing-Last Click,0
R_3XikxXHI9f3RNY1,Timing-Last Click,0
R_bawhqfyJXOGMbZz,Timing-Last Click,0
R_9STal68um6rtI45,Timing-Last Click,0
R_3NMmCSjk8xZPyHH,Timing-Last Click,0
R_6zMVC9kuhl7oD5j,Timing-Last Click,0
R_9ua0FR0zNLyRqa9,Timing-Last Click,0
R_eyQ92M2faxNQWFf,Timing-Last Click,0
R_7379KPKAfmA5Sy9,Timing-Last Click,0
R_8868VvS8DH4InYh,Timing-Page Submit,0.587
R_brBsncrK2secV7v,Timing-Page Submit,0.935
R_cIay1PiBWtSgPpr,Timing-Page Submit,1.13
R_4IrZFD1AjeRZm1T,Timing-Page Submit,0.696
R_8finadprGjxTKTP,Timing-Page Submit,0.528
R_ahZZOGMuJqHBtGd,Timing-Page Submit,0.766
R_249FSn3J0TI9ZWt,Timing-Page Submit,0.776
R_0H5BNGYtHbJlJLn,Timing-Page Submit,0.655
R_20ntoiSqvPVfdTT,Timing-Page Submit,0.748
R_4H1Izll8EGknlaJ,Timing-Page Submit,0.785
R_8hTzTWhIt3n7AHz,Timing-Page Submit,0.632
R_1MqpDS8VpRmCxGR,Timing-Page Submit,0.763
R_3XikxXHI9f3RNY1,Timing-Page Submit,1.034
R_bawhqfyJXOGMbZz,Timing-Page Submit,0.755
R_9STal68um6rtI45,Timing-Page Submit,1.152
R_3NMmCSjk8xZPyHH,Timing-Page Submit,1.238
R_6zMVC9kuhl7oD5j,Timing-Page Submit,0.763
R_9ua0FR0zNLyRqa9,Timing-Page Submit,1.012
R_eyQ92M2faxNQWFf,Timing-Page Submit,0.933
R_7379KPKAfmA5Sy9,Timing-Page Submit,1.185
R_8868VvS8DH4InYh,Timing-Click Count,0
R_brBsncrK2secV7v,Timing-Click Count,0
R_cIay1PiBWtSgPpr,Timing-Click Count,0
R_4IrZFD1AjeRZm1T,Timing-Click Count,0
R_8finadprGjxTKTP,Timing-Click Count,0
R_ahZZOGMuJqHBtGd,Timing-Click Count,0
R_249FSn3J0TI9ZWt,Timing-Click Count,0
R_0H5BNGYtHbJlJLn,Timing-Click Count,0
R_20ntoiSqvPVfdTT,Timing-Click Count,0
R_4H1Izll8EGknlaJ,Timing-Click Count,0
R_8hTzTWhIt3n7AHz,Timing-Click Count,0
R_1MqpDS8VpRmCxGR,Timing-Click Count,0
R_3XikxXHI9f3RNY1,Timing-Click Count,0
R_bawhqfyJXOGMbZz,Timing-Click Count,0
R_9STal68um6rtI45,Timing-Click Count,0
R_3NMmCSjk8xZPyHH,Timing-Click Count,0
R_6zMVC9kuhl7oD5j,Timing-Click Count,0
R_9ua0FR0zNLyRqa9,Timing-Click Count,0
R_eyQ92M2faxNQWFf,Timing-Click Count,0
R_7379KPKAfmA5Sy9,Timing-Click Count,0
R_8868VvS8DH4InYh,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_brBsncrK2secV7v,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_cIay1PiBWtSgPpr,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_4IrZFD1AjeRZm1T,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_8finadprGjxTKTP,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_ahZZOGMuJqHBtGd,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_249FSn3J0TI9ZWt,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_0H5BNGYtHbJlJLn,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_20ntoiSqvPVfdTT,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",2.0
R_4H1Izll8EGknlaJ,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",2.0
R_8hTzTWhIt3n7AHz,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_1MqpDS8VpRmCxGR,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_3XikxXHI9f3RNY1,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_bawhqfyJXOGMbZz,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_9STal68um6rtI45,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",
R_3NMmCSjk8xZPyHH,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_6zMVC9kuhl7oD5j,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_9ua0FR0zNLyRqa9,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_eyQ92M2faxNQWFf,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_7379KPKAfmA5Sy9,"""TO /  BUILD"" /   /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_8868VvS8DH4InYh,Timing-First Click.1,0
R_brBsncrK2secV7v,Timing-First Click.1,0
R_cIay1PiBWtSgPpr,Timing-First Click.1,0
R_4IrZFD1AjeRZm1T,Timing-First Click.1,0
R_8finadprGjxTKTP,Timing-First Click.1,0
R_ahZZOGMuJqHBtGd,Timing-First Click.1,0
R_249FSn3J0TI9ZWt,Timing-First Click.1,0
R_0H5BNGYtHbJlJLn,Timing-First Click.1,0
R_20ntoiSqvPVfdTT,Timing-First Click.1,0
R_4H1Izll8EGknlaJ,Timing-First Click.1,0
R_8hTzTWhIt3n7AHz,Timing-First Click.1,0
R_1MqpDS8VpRmCxGR,Timing-First Click.1,0
R_3XikxXHI9f3RNY1,Timing-First Click.1,0
R_bawhqfyJXOGMbZz,Timing-First Click.1,0
R_9STal68um6rtI45,Timing-First Click.1,0
R_3NMmCSjk8xZPyHH,Timing-First Click.1,0
R_6zMVC9kuhl7oD5j,Timing-First Click.1,0
R_9ua0FR0zNLyRqa9,Timing-First Click.1,0
R_eyQ92M2faxNQWFf,Timing-First Click.1,0
R_7379KPKAfmA5Sy9,Timing-First Click.1,0
R_8868VvS8DH4InYh,Timing-Last Click.1,0
R_brBsncrK2secV7v,Timing-Last Click.1,0
R_cIay1PiBWtSgPpr,Timing-Last Click.1,0
R_4IrZFD1AjeRZm1T,Timing-Last Click.1,0
R_8finadprGjxTKTP,Timing-Last Click.1,0
R_ahZZOGMuJqHBtGd,Timing-Last Click.1,0
R_249FSn3J0TI9ZWt,Timing-Last Click.1,0
R_0H5BNGYtHbJlJLn,Timing-Last Click.1,0
R_20ntoiSqvPVfdTT,Timing-Last Click.1,0
R_4H1Izll8EGknlaJ,Timing-Last Click.1,0
R_8hTzTWhIt3n7AHz,Timing-Last Click.1,0
R_1MqpDS8VpRmCxGR,Timing-Last Click.1,0
R_3XikxXHI9f3RNY1,Timing-Last Click.1,0
R_bawhqfyJXOGMbZz,Timing-Last Click.1,0
R_9STal68um6rtI45,Timing-Last Click.1,0
R_3NMmCSjk8xZPyHH,Timing-Last Click.1,0
R_6zMVC9kuhl7oD5j,Timing-Last Click.1,0
R_9ua0FR0zNLyRqa9,Timing-Last Click.1,0
R_eyQ92M2faxNQWFf,Timing-Last Click.1,0
R_7379KPKAfmA5Sy9,Timing-Last Click.1,0
R_8868VvS8DH4InYh,Timing-Page Submit.1,0.779
R_brBsncrK2secV7v,Timing-Page Submit.1,0.972
R_cIay1PiBWtSgPpr,Timing-Page Submit.1,0.631
R_4IrZFD1AjeRZm1T,Timing-Page Submit.1,1.118
R_8finadprGjxTKTP,Timing-Page Submit.1,0.627
R_ahZZOGMuJqHBtGd,Timing-Page Submit.1,0.833
R_249FSn3J0TI9ZWt,Timing-Page Submit.1,0.787
R_0H5BNGYtHbJlJLn,Timing-Page Submit.1,0.753
R_20ntoiSqvPVfdTT,Timing-Page Submit.1,1.196
R_4H1Izll8EGknlaJ,Timing-Page Submit.1,0.763
R_8hTzTWhIt3n7AHz,Timing-Page Submit.1,0.793
R_1MqpDS8VpRmCxGR,Timing-Page Submit.1,0.599
R_3XikxXHI9f3RNY1,Timing-Page Submit.1,1.09
R_bawhqfyJXOGMbZz,Timing-Page Submit.1,0.764
R_9STal68um6rtI45,Timing-Page Submit.1,2.002
R_3NMmCSjk8xZPyHH,Timing-Page Submit.1,1.283
R_6zMVC9kuhl7oD5j,Timing-Page Submit.1,1.453
R_9ua0FR0zNLyRqa9,Timing-Page Submit.1,1.035
R_eyQ92M2faxNQWFf,Timing-Page Submit.1,0.989
R_7379KPKAfmA5Sy9,Timing-Page Submit.1,0.858
R_8868VvS8DH4InYh,Timing-Click Count.1,0
R_brBsncrK2secV7v,Timing-Click Count.1,0
R_cIay1PiBWtSgPpr,Timing-Click Count.1,0
R_4IrZFD1AjeRZm1T,Timing-Click Count.1,0
R_8finadprGjxTKTP,Timing-Click Count.1,0
R_ahZZOGMuJqHBtGd,Timing-Click Count.1,0
R_249FSn3J0TI9ZWt,Timing-Click Count.1,0
R_0H5BNGYtHbJlJLn,Timing-Click Count.1,0
R_20ntoiSqvPVfdTT,Timing-Click Count.1,0
R_4H1Izll8EGknlaJ,Timing-Click Count.1,0
R_8hTzTWhIt3n7AHz,Timing-Click Count.1,0
R_1MqpDS8VpRmCxGR,Timing-Click Count.1,0
R_3XikxXHI9f3RNY1,Timing-Click Count.1,0
R_bawhqfyJXOGMbZz,Timing-Click Count.1,0
R_9STal68um6rtI45,Timing-Click Count.1,0
R_3NMmCSjk8xZPyHH,Timing-Click Count.1,0
R_6zMVC9kuhl7oD5j,Timing-Click Count.1,0
R_9ua0FR0zNLyRqa9,Timing-Click Count.1,0
R_eyQ92M2faxNQWFf,Timing-Click Count.1,0
R_7379KPKAfmA5Sy9,Timing-Click Count.1,0
R_8868VvS8DH4InYh,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_brBsncrK2secV7v,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_cIay1PiBWtSgPpr,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_4IrZFD1AjeRZm1T,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_8finadprGjxTKTP,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_ahZZOGMuJqHBtGd,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_249FSn3J0TI9ZWt,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_0H5BNGYtHbJlJLn,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",2.0
R_20ntoiSqvPVfdTT,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",2.0
R_4H1Izll8EGknlaJ,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_8hTzTWhIt3n7AHz,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_1MqpDS8VpRmCxGR,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_3XikxXHI9f3RNY1,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",
R_bawhqfyJXOGMbZz,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_9STal68um6rtI45,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_3NMmCSjk8xZPyHH,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_6zMVC9kuhl7oD5j,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_9ua0FR0zNLyRqa9,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_eyQ92M2faxNQWFf,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_7379KPKAfmA5Sy9,"""TO /  REPAIR"" /    /   /   /    /   /   /    /   /   /  B = positive     /         N = negative",1.0
R_8868VvS8DH4InYh,Timing-First Click.2,0
R_brBsncrK2secV7v,Timing-First Click.2,0
R_cIay1PiBWtSgPpr,Timing-First Click.2,0
R_4IrZFD1AjeRZm1T,Timing-First Click.2,0
R_8finadprGjxTKTP,Timing-First Click.2,0
R_ahZZOGMuJqHBtGd,Timing-First Click.2,0
R_249FSn3J0TI9ZWt,Timing-First Click.2,0
R_0H5BNGYtHbJlJLn,Timing-First Click.2,0
R_20ntoiSqvPVfdTT,Timing-First Click.2,0
R_4H1Izll8EGknlaJ,Timing-First Click.2,0
